News Agency,Tweets Ago,Date,Compound,Positive,Negative,Neutral,Tweet
@BBC,94,Fri Jul 20 11:21:07 +0000 2018,0.6908,0.263,0.737,0.0,"Tweet 94: From satirical cartoons to original Rembrandts and taxidermy geese, there’s plenty to intrigue art lovers this summ… https://t.co/9YDofEBDLI"
@BBC,95,Fri Jul 20 10:48:43 +0000 2018,0.0,0.0,1.0,0.0,"Tweet 95: RT @BBCEngland: 🦋 If Sir David Attenborough wants us to count butterflies, we'll count butterflies... 🦋

#butterflycount

https://t.co/wlWn…"
@BBC,96,Fri Jul 20 10:44:50 +0000 2018,0.5719,0.163,0.837,0.0,Tweet 96: 😍🐾 The 150th anniversary of the founding of the golden retriever has been celebrated at the breed's ancestral home… https://t.co/MP2ijSzMFg
@BBC,97,Fri Jul 20 09:11:11 +0000 2018,0.0,0.0,1.0,0.0,Tweet 97: 👀 First look at brand new #DoctorWho https://t.co/V9UpeFtwMa
@BBC,98,Fri Jul 20 08:01:07 +0000 2018,-0.34,0.0,0.556,0.444,Tweet 98: 🔥 Fashion icon? https://t.co/8qdFXbOxmE
@BBC,99,Fri Jul 20 07:25:07 +0000 2018,0.3612,0.102,0.898,0.0,Tweet 99: ⚡️🚙 Half of young people in the UK would like to own an electric car – compared with just a quarter of their parent… https://t.co/wccWjtuyky
@BBC,100,Fri Jul 20 07:02:03 +0000 2018,0.3182,0.15,0.85,0.0,Tweet 100: 🌳 These curious 'animals' have been popping up in one London neighbourhood. https://t.co/EaVZ5RovIq
@CBS,1,Wed Jul 25 17:25:36 +0000 2018,0.75,0.273,0.727,0.0,"Tweet 1: This is one allowance that can’t be beat! Kids are winning big this week on @PriceIsRight. 🎉
 https://t.co/lncKu9XvNo"
@CBS,2,Wed Jul 25 15:12:31 +0000 2018,0.0,0.0,1.0,0.0,"Tweet 2: Renowned artists Cher, Philip Glass, Reba McEntire, Wayne Shorter, and the co-creators of #Hamilton will be recogni… https://t.co/PEjjI9MKE1"
@CBS,3,Wed Jul 25 01:05:03 +0000 2018,0.34,0.118,0.882,0.0,Tweet 3: Who's excited for the return of @MurphyBrownCBS? Here's a behind-the-scenes look at the first table read of the sea… https://t.co/1B5S4WJnCW
@CBS,4,Tue Jul 24 18:54:14 +0000 2018,-0.1511,0.068,0.834,0.099,"Tweet 4: Mark your calendars because you won’t want to miss this! Former Secretaries of State @HillaryClinton, @Madeleine, a… https://t.co/JKDPp97OqN"
@CBS,5,Mon Jul 23 21:30:33 +0000 2018,0.8293,0.34,0.66,0.0,Tweet 5: The cast couldn’t be more excited to welcome @ansonmount into the @startrekcbs family! Who’s ready to see the iconi… https://t.co/fOS4f4VCb2
@CBS,6,Sun Jul 22 01:56:13 +0000 2018,0.128,0.073,0.927,0.0,Tweet 6: RT @startrekcbs: Stream the full panel &amp; learn all the exclusive details revealed about season 2 of #StarTrekDiscovery at @Comic_Con: https…
@CBS,7,Sat Jul 21 00:55:28 +0000 2018,-0.296,0.0,0.891,0.109,Tweet 7: RT @MagnumPICBS: Couldn't make it to San Diego for the #MagnumPI panel? Here's everything you missed at #SDCC2018: https://t.co/Z7IBqF1YJ8…
@CBS,8,Sat Jul 21 00:19:12 +0000 2018,-0.296,0.0,0.891,0.109,Tweet 8: RT @bigbangtheory: The #BigBangTheory writers teased a honeymoon episode and more @YoungSheldon characters in Season 12 while speaking at #…
@CBS,9,Sat Jul 21 00:10:00 +0000 2018,-0.7964,0.0,0.736,0.264,"Tweet 9: RT @TrueCrimeCBS: When you find out you’ve been treated with chemo, but you don’t have cancer. #Whistleblower https://t.co/DAKwu1vcNX"
@CBS,10,Fri Jul 20 23:44:54 +0000 2018,-0.6597,0.0,0.82,0.18,Tweet 10: George blew the whistle on a doctor targeting those who believed they had cancer. What was the outcome? Find out to… https://t.co/rLlNzlK3Cy
@CBS,11,Fri Jul 20 22:29:36 +0000 2018,0.3182,0.095,0.905,0.0,"Tweet 11: RT @startrekcbs: Discover the next adventure of Starfleet in this first look at the season 2 premiere, coming early 2019. Season 1 is now s…"
@CBS,12,Fri Jul 20 21:39:09 +0000 2018,0.0,0.0,1.0,0.0,Tweet 12: Take a trip down memory lane with the cast and crew of @MagnumPICBS at #SDCC2018! https://t.co/jHVxm7kyaT
@CBS,13,Fri Jul 20 15:08:23 +0000 2018,0.0,0.0,1.0,0.0,"Tweet 13: This @cbsallaccess series is unlike any fairy tale you've ever seen before. @paulwesley, @kevwilliamson &amp;… https://t.co/icsSnPxKAr"
@CBS,14,Tue Jul 17 17:55:25 +0000 2018,0.0,0.0,1.0,0.0,Tweet 14: 🤰👩‍👧🚫🍸 #WorldEmojiDay
@CBS,15,Tue Jul 17 17:22:29 +0000 2018,0.0,0.0,1.0,0.0,Tweet 15: 👨📝✔️ #WorldEmojiDay
@CBS,16,Tue Jul 17 17:22:29 +0000 2018,0.0,0.0,1.0,0.0,Tweet 16: 👩‍💼💼🇺🇸 #WorldEmojiDay
@CBS,17,Tue Jul 17 17:22:29 +0000 2018,0.0,0.0,1.0,0.0,Tweet 17: 🕵️🕵️‍♀️ #WorldEmojiDay
@CBS,18,Tue Jul 17 17:22:29 +0000 2018,0.0,0.0,1.0,0.0,Tweet 18: ⚓️🦅🇺🇸 #WorldEmojiDay
@CBS,19,Tue Jul 17 17:22:29 +0000 2018,0.0,0.0,1.0,0.0,Tweet 19: 🏄🌴🚔 #WorldEmojiDay
@CBS,20,Tue Jul 17 17:22:28 +0000 2018,0.0,0.0,1.0,0.0,Tweet 20: 💙👮🍽 #WorldEmojiDay
@CBS,21,Tue Jul 17 17:22:28 +0000 2018,0.0,0.0,1.0,0.0,Tweet 21: 💣📎 #WorldEmojiDay
@CBS,22,Tue Jul 17 17:22:28 +0000 2018,0.0,0.0,1.0,0.0,Tweet 22: 🌎☄️ #WorldEmojiDay
@CBS,23,Tue Jul 17 17:22:28 +0000 2018,0.0,0.0,1.0,0.0,Tweet 23: 🏷💰🎰 #WorldEmojiDay
@CBS,24,Tue Jul 17 17:22:28 +0000 2018,0.0,0.0,1.0,0.0,Tweet 24: 👶😴🚫 #WorldEmojiDay
@CBS,25,Tue Jul 17 17:22:28 +0000 2018,0.0,0.0,1.0,0.0,Tweet 25: 🤝💼💰 #WorldEmojiDay
@CBS,26,Tue Jul 17 17:22:27 +0000 2018,0.0,0.0,1.0,0.0,Tweet 26: 💄👠📷 #WorldEmojiDay
@CBS,27,Tue Jul 17 17:22:27 +0000 2018,0.0,0.0,1.0,0.0,Tweet 27: 🏝🔥💵 #WorldEmojiDay
@CBS,28,Tue Jul 17 17:22:27 +0000 2018,0.0,0.0,1.0,0.0,Tweet 28: 🐮⚖️ #WorldEmojiDay
@CBS,29,Tue Jul 17 17:22:27 +0000 2018,0.0,0.0,1.0,0.0,Tweet 29: 🏠📹📹📹 #WorldEmojiDay
@CBS,30,Tue Jul 17 17:22:27 +0000 2018,0.0,0.0,1.0,0.0,Tweet 30: 👶💥🌎🔬 #WorldEmojiDay
@CBS,31,Tue Jul 17 17:22:26 +0000 2018,0.0,0.0,1.0,0.0,Tweet 31: 💥🌎🔬 #WorldEmojiDay
